
2025/01/03 (13:33:12) | ===> btop++ v.1.4.0
2025/01/03 (13:33:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:55:10) | ===> btop++ v.1.4.0
2025/01/08 (22:55:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (09:17:30) | ===> btop++ v.1.4.0
2025/01/28 (09:17:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (09:30:09) | ===> btop++ v.1.4.0
2025/01/28 (09:30:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (17:54:28) | ===> btop++ v.1.4.0
2025/02/18 (17:54:28) | WARNING: Intel GPU: Failed to initialize PMU
